Squadron Name;Insignia;Nickname;Command;Air Force;Wing;Date First Activated;Base;Aircraft;Tail Code
302nd Fighter Squadron;;Red Devils;Air Force Reserve Command;Tenth Air Force;477 FG;13 October 1942;JB Elmendorf–Richardson, Alaska;F-22A;AK
303rd Fighter Squadron;;KC Hawgs;Air Force Reserve Command;Tenth Air Force;442 FW;1 September 1943;Whiteman AFB, Missouri;A-10C;KC
306th Fighter Squadron;;;Air Combat Command;Fifteenth Air Force;495 FG;25 September 1957;Atlantic City ANGB, New Jersey;F-16C;
307th Fighter Squadron;;Stingers;Air Force Reserve Command;Tenth Air Force;944 FW;30 January 1942;Seymour Johnson AFB, North Carolina;F-15E;FF
308th Fighter Squadron;;Emerald Knights;Air Education and Training Command;Nineteenth Air Force;56 FW;30 January 1942;Luke AFB, Arizona;F-35A;LF
309th Fighter Squadron;;Wild Ducks;Air Education and Training Command;Nineteenth Air Force;56 FW;30 January 1942;Luke AFB, Arizona;F-16C;LF
310th Fighter Squadron;;Top Hats;Air Education and Training Command;Nineteenth Air Force;56 FW;9 February 1942;Luke AFB, Arizona;F-16C;LF
311th Fighter Squadron;;Sidewinders;Air Education and Training Command;Nineteenth Air Force;49 WG;9 February 1942;Holloman AFB, New Mexico;F-16C;HO
314th Fighter Squadron;;Warhawks;Air Education and Training Command;Nineteenth Air Force;49 WG;6 July 1942;Holloman AFB, New Mexico;F-16C;HO
315th Fighter Squadron;;;Air Combat Command;Fifteenth Air Force;495 FG;6 July 1942;Burlington ANGB, Vermont;F-35A;VT
316th Fighter Squadron;;;Air Combat Command;Fifteenth Air Force;495 FG;6 July 1942;McEntire JNGB, South Carolina;F-16C;SC
333rd Fighter Squadron;;Lancers;Air Combat Command;Fifteenth Air Force;4 FW;8 December 1957;Seymour Johnson AFB, North Carolina;F-15E;SJ
334th Fighter Squadron;;Fighting Eagles;Air Combat Command;Fifteenth Air Force;4 FW;12 September 1942;Seymour Johnson AFB, North Carolina;F-15E;SJ
335th Fighter Squadron;;Chiefs;Air Combat Command;Fifteenth Air Force;4 FW;12 September 1942;Seymour Johnson AFB, North Carolina;F-15E;SJ
336th Fighter Squadron;;Rocketeers;Air Combat Command;Fifteenth Air Force;4 FW;12 September 1942;Seymour Johnson AFB, North Carolina;F-15E;SJ
354th Fighter Squadron;;Bulldogs;Air Combat Command;Fifteenth Air Force;355th Wing;12 November 1942;Davis–Monthan AFB, Arizona;A-10C;DM
355th Fighter Squadron;;Fighting Falcons;Pacific Air Forces;Eleventh Air Force;354 FW;15 November 1942;Eielson AFB, Alaska;F-35A;AK
356th Fighter Squadron;;Green Demons;Pacific Air Forces;Eleventh Air Force;354 FW;15 November 1942;Eielson AFB, Alaska;F-35A;AK
357th Fighter Squadron;;Dragons;Air Combat Command;Fifteenth Air Force;355th Wing;12 November 1942;Davis–Monthan AFB, Arizona;A-10C;DM
358th Fighter Squadron;;Lobos;Air Combat Command;Fifteenth Air Force;495 FG;12 November 1942;Whiteman AFB, Missouri;A-10C;KC
367th Fighter Squadron;;Vultures;Air Combat Command;Fifteenth Air Force;495 FG;1 January 1943;Homestead ARB, Florida;F-16C;FM
377th Fighter Squadron;;;Air Combat Command;Fifteenth Air Force;495 FG;1 March 1943;Montgomery ANGB, Alabama;F-16C;AL
378th Fighter Squadron;;;Air Combat Command;Fifteenth Air Force;495 FG;1 March 1943;Truax Field ANGB, Wisconsin;F-16C;
389th Fighter Squadron;;Thunderbolts;Air Combat Command;Fifteenth Air Force;366 FW;1 June 1943;Mountain Home AFB, Idaho;F-15E;MO
391st Fighter Squadron;;Bold Tigers;Air Combat Command;Fifteenth Air Force;366 FW;1 June 1943;Mountain Home AFB, Idaho;F-15E;MO
421st Fighter Squadron;;Black Widows;Air Combat Command;Fifteenth Air Force;388 FW;1 May 1943;Hill AFB, Utah;F-35A;HL
425th Fighter Squadron;;Black Widows;Air Education and Training Command;Nineteenth Air Force;56 FW;1 December 1943;Luke AFB, Arizona;F-16C;LF
428th Fighter Squadron;;Buccaneers;Air Combat Command;Fifteenth Air Force;366 FW;1 August 1943;Mountain Home AFB, Idaho;F-15SG;MO
457th Fighter Squadron;;Spads;Air Force Reserve Command;Tenth Air Force;301 FW;21 October 1944;NAS JRB Fort Worth, Texas;F-16C;TX
466th Fighter Squadron;;Diamondbacks;Air Force Reserve Command;Tenth Air Force;419 FW;12 October 1944;Hill AFB, Utah;F-35A;HL
480th Fighter Squadron;;Warhawks;United States Air Forces in Europe – Air Forces Africa;Third Air Force;52 FW;15 July 1942;Spangdahlem AB, Germany;F-16C;SP
492nd Fighter Squadron;;Madhatters;United States Air Forces in Europe – Air Forces Africa;Third Air Force;48 FW;15 January 1941;RAF Lakenheath, United Kingdom;F-15E;LN
493rd Fighter Squadron;;Grim Reapers;United States Air Forces in Europe – Air Forces Africa;Third Air Force;48 FW;15 January 1941;RAF Lakenheath, United Kingdom;F-35A;LN
494th Fighter Squadron;;Panthers;United States Air Forces in Europe – Air Forces Africa;Third Air Force;48 FW;15 January 1941;RAF Lakenheath, United Kingdom;F-15E;LN
495th Fighter Squadron;;Valkyries;United States Air Forces in Europe – Air Forces Africa;Third Air Force;48 FW;15 January 1941;RAF Lakenheath, United Kingdom;F-35A;LN
510th Fighter Squadron;;Buzzards;United States Air Forces in Europe – Air Forces Africa;Third Air Force;31 FW;1 March 1943;Aviano AB, Italy;F-16C;AV
525th Fighter Squadron;;Bulldogs;Pacific Air Forces;Eleventh Air Force;3rd Wing;10 February 1942;JB Elmendorf–Richardson, Alaska;F-22A;AK
550th Fighter Squadron;;Silver Eagles;Air Education and Training Command;Nineteenth Air Force;56 FW;1 June 1944;Kingsley Field ANGB, Oregon;F-15C;
555th Fighter Squadron;;Triple Nickel;United States Air Forces in Europe – Air Forces Africa;Third Air Force;31 FW;1 December 1942;Aviano AB, Italy;F-16C;AV
706th Fighter Squadron;;Cajuns;Air Force Reserve Command;Tenth Air Force;926 WG;1 April 1943;Nellis AFB, Nevada;A-10C, F-15C, F-15E, F-16, F-22A, HH-60;
41st Electronic Combat Squadron;;Scorpions;Air Combat Command;Sixteenth Air Force;55 WG;13 November 1917;Davis–Monthan AFB, Arizona;EC-130H;DM
42nd Electronic Combat Squadron;;;Air Combat Command;Sixteenth Air Force;55 WG;7 November 1945;Davis–Monthan AFB, Arizona;EC-130H;DM
43rd Electronic Combat Squadron;;Bats;Air Combat Command;Sixteenth Air Force;55 WG;17 August 1917;Davis–Monthan AFB, Arizona;EC-130H;DM
390th Electronic Combat Squadron;;Wild Boars;Air Combat Command;Fifteenth Air Force;366 FW;1 June 1943;NAS Whidbey Island, Washington;EA-18G;
